fid,id_ecop,id_via,propriedad,vidrao,papelao,embalao,lixo_geral,oleao,pilhao,dep_roupa,lugar,ano_instal,ano_subs,ano_reforc
36,39,4235,ERSUC,sim,,,,,,,Forcada,,,
37,40,4132,ERSUC,sim,sim,sim,,,,,Bustelo,,,
38,41,4251,ERSUC,sim,sim,sim,,,,,Forcada,,,
39,42,666,Vários,sim,sim,sim,,,,sim,Engenho,,,
40,43,4049,Vários,sim,sim,sim,,sim,sim,sim,Aguada de Cima,,,
41,46,3398,ERSUC,sim,sim,sim,,,,,Brejo,,,
42,47,3342,ERSUC,sim,sim,sim,,,,,Carrasqueira,,,
43,48,3864,ERSUC,sim,sim,sim,,,,,Randam,,,
44,49,3854,ERSUC,sim,,,,,,,Brejo,,,
45,50,122,Vários,sim,sim,sim,,,,sim,Aguada de Baixo,,,
46,53,3629,ERSUC,sim,sim,sim,,sim,,,,,,
47,54,3651,ERSUC,sim,sim,sim,,,,,Landiosa,,,
48,55,3673,ERSUC,sim,,,,,,,Landiosa,,,
49,56,2258,ERSUC,sim,sim,sim,,,,,Carqueijo,,,
50,58,3828,ERSUC,sim,,,,,,,Fujacos,,,
51,59,2220,ERSUC,sim,,,,,,,Barrô-ZI,,,
52,60,2221,ERSUC,sim,sim,sim,,,,,Barrô,,,
53,61,2260,Vários,sim,sim,sim,,sim,sim,sim,Barrô,,,
54,65,1980,ERSUC,sim,,,,,,,Piedade,,,
55,66,963,ERSUC,sim,sim,sim,,,,,Fermentelos,,,
56,67,2881,ERSUC,sim,sim,sim,,,,,Fermentelos,,,
57,68,2841,Vários,sim,sim,sim,,sim,,,Fermentelos,,,
58,69,2834,Vários,sim,,,,,,sim,Fermentelos,,,
59,70,2927,ERSUC,sim,sim,sim,,,,,Fermentelos,,,
60,71,2849,ERSUC,sim,sim,sim,,,,,Fermentelos,,,
61,72,1566,ERSUC,sim,sim,sim,,,,,Fermentelos,,,
62,73,2931,Vários,sim,sim,sim,,sim,sim,sim,Fermentelos,,,
63,74,3815,ERSUC,sim,,,,,,,Vale do Senhor,,,
64,75,3806,Vários,sim,sim,sim,,sim,,,Póvoa da Carvalha,,,
65,76,3785,ERSUC,sim,sim,sim,,,,,Crasto d'Alem,,,
66,77,3889,ERSUC,sim,sim,sim,,,,,Póvoa da Igreja,,,
67,63,1991,ERSUC,sim,sim,sim,,,,,Paradela,,,
